Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C20, C23, C24, C25, C4, C5, C6, C7, C8, C9",0402,19,0.1uF,
"C18, C19",0402,2,4.7uF,
"C2, C3",0805,2,1uF,
"C21, C22",0402,2,27pF,
D1,D_SOD-123,1,D_Schottky,
D2,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
D3,0603,1,PWR,
"H1, H2, H3, H4",MountingHole_2.5mm_Pad_TopBottom,4,MountingHole_Pad,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_Pin,
J3,Hirose_FH12-15S-0.5SH_1x15-1MP_P0.50mm_Horizontal,1,Conn_01x22_Socket,
J4,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12_Pin,
J5,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04_Pin,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
L1,L_Wurth_WE-LQSH-3012,1,L_Small,
R1,0402,1,2M,
"R10, R11, R12, R13, R15",0402,5,0,
R14,0402,1,1k,
"R16, R2, R3",0402,3,5k1,
"R4, R5",0402,2,10k,
"R6, R7",0402,2,27,
R8,0402,1,33,
R9,0402,1,953,
SW1,SW_SPDT_CK_JS102011SAQN,1,SW_SPDT,
"SW2, SW3",SW_SPST_SKQG_WithStem,2,SW_Push,
U1,QFN-80_EP_10.573x10.573_Pitch0.4mm,1,RP235x-B,
U2,SOT-23-5,1,TLV75533PDBV,
"U3, U4",SOIC_0DP-0.4V51_HIR,2,DF40C-30DP-0.4V51,
"U5, U6",W25Q128JW_WSON 6x5-mm_WIN,2,W25Q128JWPIM,
Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,1,12MHz,
